score,episodes,duration,popularity,favorites,scored_by,Cluster,genres,type,rating
7.03,1.0,5.0,9829.0,2.0,1738.0,1,unknown,G - All Ages,G - All Ages
7.03,1.0,54.0,9724.0,-7.105427357601002e-15,1387.0,1,unknown,PG - Children,PG - Children
7.03,1.0,30.0,4455.0,169.0,10028.0,2,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,12.0,25.0,5169.0,68.0,4708.0,1,Gourmet,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,24.0,24.0,5497.0,30.0,3785.0,1,Mystery,PG - Children,PG - Children
7.03,2.0,2.0,10452.0,8.0,1010.0,1,Comedy,PG - Children,PG - Children
7.03,1.0,1.0,7710.0,13.0,4225.0,1,Award Winning,G - All Ages,G - All Ages
7.03,1.0,4.0,4187.0,17.0,13091.0,2,Drama,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,14.0,24.0,2253.0,229.5,28428.0,0,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
7.03,1.0,10.0,3043.0,50.0,31550.0,0,Comedy,R+ - Mild Nudity,R+ - Mild Nudity
7.03,1.0,1.0,10659.0,-7.105427357601002e-15,1000.0,1,Adventure,G - All Ages,G - All Ages
7.03,26.0,25.0,11747.0,6.000000000000007,1023.0,1,unknown,G - All Ages,G - All Ages
7.03,12.0,24.0,2374.999999999999,229.5,28842.0,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,28.5,24.0,5775.0,67.0,6337.0,1,Action,G - All Ages,G - All Ages
7.03,1.0,1.0,8945.0,11.0,1988.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,1.0,22.0,3515.0,30.999999999999996,21565.0,2,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,28.5,24.0,9643.0,15.0,1228.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,28.5,24.0,6194.0,84.0,2555.0,1,Comedy,R+ - Mild Nudity,R+ - Mild Nudity
7.03,1.0,1.0,8803.0,4.0,1659.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,28.5,24.0,7480.0,28.0,1945.0,1,Adventure,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,28.5,9.0,4182.0,89.0,7077.0,1,Adventure,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,12.0,23.0,766.0,229.5,37650.25,0,Action,R+ - Mild Nudity,R+ - Mild Nudity
7.03,28.5,24.0,8330.0,57.0,1245.0,1,unknown,G - All Ages,G - All Ages
7.03,28.5,25.0,8252.0,14.0,1479.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,1.0,1.0,8352.0,1.0,3357.0,1,Adventure,PG - Children,PG - Children
7.03,1.0,29.0,6282.0,2.999999999999993,5502.0,1,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,3.0,24.0,10513.0,6.000000000000007,1116.0,1,Comedy,G - All Ages,G - All Ages
7.03,1.0,1.0,1342.0,141.0,37650.25,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.03,1.0,1.0,4829.0,15.0,10406.0,2,Action,R - 17+ (violence & profanity),R - 17+ (violence & profanity)
7.03,1.0,1.0,11741.0,4.0,378.0,1,Drama,G - All Ages,G - All Ages
7.03,1.0,1.0,9186.0,23.0,1612.0,1,Drama,G - All Ages,G - All Ages
7.03,2.0,54.0,6362.0,9.000000000000007,4746.0,1,Action,R+ - Mild Nudity,R+ - Mild Nudity
7.03,28.5,24.0,3116.0,229.5,27717.0,0,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.02,12.0,23.0,1075.0,229.5,37650.25,0,Comedy,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
7.02,1.0,26.0,10565.0,13.0,1202.0,1,Hentai,Rx - Hentai,Rx - Hentai
7.02,1.0,1.0,10672.0,6.000000000000007,340.0,1,Action,PG-13 - Teens 13 or older,PG-13 - Teens 13 or older
